Num_Agents,Average_Time_Taken,Average_Collisions
59,1.8033151626586914,122
26,0.08833622932434082,44
22,0.11482453346252441,49
29,0.10315847396850586,28
29,0.3395991325378418,69
6,0.005608797073364258,6
54,1.633115291595459,133
61,1.37939453125,106
30,0.19375920295715332,50
14,0.002393960952758789,4
66,2.6626670360565186,165
9,0.002870798110961914,6
60,1.3619232177734375,117
3,0.0002040863037109375,0
27,0.0598902702331543,21
24,0.3047008514404297,68
33,0.1806778907775879,35
54,1.0669488906860352,78
41,0.519273042678833,59
25,0.08738017082214355,30
23,0.0345609188079834,23
46,0.7254195213317871,75
59,1.5490760803222656,99
24,0.10636425018310547,31
66,2.188636541366577,120
34,0.24409055709838867,41
22,0.04014420509338379,24
67,3.792881488800049,166
50,1.3252346515655518,70
54,2.0325944423675537,64
58,3.0899484157562256,146
48,1.2456066608428955,76
44,0.8527483940124512,72
27,0.13468217849731445,42
47,0.8764500617980957,98
9,0.007052421569824219,6
69,2.9274823665618896,125
44,0.7414968013763428,72
13,0.028856515884399414,21
61,1.5615627765655518,97
53,0.6704339981079102,78
21,0.08973240852355957,27
48,1.0996475219726562,101
25,0.13791823387145996,40
61,2.876840591430664,133
28,0.17740797996520996,36
20,0.06335234642028809,23
18,0.1064307689666748,34
23,0.18683075904846191,48
7,0.0021109580993652344,3
16,0.013776302337646484,9
61,1.5250530242919922,123
58,3.2644336223602295,227
11,0.005835533142089844,6
66,1.7548999786376953,118
8,0.0018682479858398438,2
47,0.5029325485229492,76
63,1.5184588432312012,140
56,2.197118043899536,163
65,2.0812487602233887,139
15,0.022533416748046875,14
22,0.05042624473571777,25
63,1.6804039478302002,84
34,0.08305501937866211,29
42,0.2762868404388428,47
33,0.13618826866149902,38
11,0.0062181949615478516,9
55,0.9361295700073242,99
30,0.19542407989501953,48
64,1.4477112293243408,98
37,0.26757216453552246,54
51,1.074697732925415,107
17,0.03901195526123047,25
63,1.3092327117919922,127
58,1.2925586700439453,91
21,0.04277634620666504,15
3,0.0009837150573730469,1
40,0.8089754581451416,115
31,0.24225378036499023,42
31,0.48452067375183105,88
60,1.1504626274108887,117
49,0.9863677024841309,73
55,1.112013578414917,78
21,0.05027318000793457,20
39,1.450181245803833,159
34,0.6595330238342285,100
22,0.041196584701538086,20
41,0.4453587532043457,58
46,1.2754533290863037,103
4,0.0002827644348144531,0
27,0.1910855770111084,43
28,0.08179187774658203,31
50,1.0984458923339844,87
67,1.9594330787658691,118
57,1.9764914512634277,155
49,1.518714427947998,111
16,0.019147396087646484,15
32,0.2856907844543457,56
36,0.252333402633667,47
22,0.29860877990722656,73
7,0.0009405612945556641,2
42,1.0888729095458984,119
23,0.3128185272216797,70
65,1.9117352962493896,131
67,4.1184728145599365,256
69,1.7797319889068604,99
61,0.7958705425262451,76
60,0.7011129856109619,54
11,0.015288829803466797,11
36,0.3548011779785156,90
69,1.9485430717468262,109
6,0.00118255615234375,2
43,0.4109063148498535,54
57,1.5159258842468262,95
67,2.581652879714966,164
62,1.3516819477081299,95
17,0.01921868324279785,16
32,0.14533281326293945,31
61,1.6054611206054688,92
31,0.18505573272705078,41
29,0.1566154956817627,30
47,0.6370773315429688,66
70,2.739349603652954,121
69,2.12642502784729,129
62,3.7000138759613037,212
27,0.08228158950805664,29
12,0.01369023323059082,11
11,0.014388322830200195,9
19,0.0821380615234375,33
47,1.0317225456237793,96
30,0.14602136611938477,32
62,2.191551685333252,157
7,0.006705522537231445,7
40,0.6287343502044678,83
53,0.7802777290344238,77
20,0.04807758331298828,22
11,0.002947568893432617,6
6,0.0001609325408935547,0
48,1.483961582183838,133
49,0.8116867542266846,82
26,0.10022091865539551,33
10,0.0023653507232666016,5
67,2.8303651809692383,138
12,0.016213417053222656,12
9,0.014957666397094727,13
26,0.06780862808227539,30
24,0.12719273567199707,35
21,0.06894135475158691,29
23,0.043148040771484375,20
43,1.172288179397583,129
39,0.3081352710723877,56
41,0.6075859069824219,68
66,1.0867393016815186,110
64,1.0259301662445068,68
43,0.6021788120269775,77
19,0.04326152801513672,29
35,0.5108706951141357,65
18,0.041590213775634766,21
55,1.0290262699127197,80
32,0.22165966033935547,46
19,0.09953022003173828,41
60,1.0297667980194092,82
9,0.0077648162841796875,9
41,1.0222373008728027,101
34,0.3393728733062744,54
31,0.1946408748626709,36
46,1.0162270069122314,98
9,0.009369373321533203,8
62,1.7253670692443848,109
13,0.022444486618041992,18
9,0.03480696678161621,26
38,0.6454176902770996,84
49,0.668755054473877,82
14,0.013479232788085938,10
9,0.003160238265991211,4
58,2.0705270767211914,126
28,0.17590975761413574,31
11,0.005038261413574219,4
12,0.013125181198120117,10
21,0.0440826416015625,15
2,0.00011968612670898438,0
21,0.23297429084777832,65
6,0.0010669231414794922,2
45,1.2614881992340088,146
63,1.9498372077941895,127
22,0.06318902969360352,25
25,0.09372568130493164,42
10,0.0041391849517822266,5
23,0.19213056564331055,54
11,0.004762411117553711,6
70,1.7191309928894043,97
50,0.6833100318908691,78
49,0.6409611701965332,59
23,0.3067045211791992,68
3,0.0002028942108154297,0
53,1.1999447345733643,101
4,0.0004131793975830078,1
42,0.5652883052825928,72
7,0.0003085136413574219,0
37,0.4065556526184082,58
